County,2010,2011,2012,2013,2014
"Phillips County, Montana",4266,4206,4127,4179,4192
"Pondera County, Montana",6172,6214,6193,6258,6219
"Powder River County, Montana",1728,1750,1755,1751,1783
"Powell County, Montana",7017,7076,7085,6965,6909
"Prairie County, Montana",1189,1158,1157,1176,1148
"Ravalli County, Montana",40325,40385,40637,40824,41030
"Richland County, Montana",9738,10133,10794,11187,11576
"Roosevelt County, Montana",10438,10525,10885,11124,11332
"Rosebud County, Montana",9266,9364,9382,9336,9326
"Sanders County, Montana",11395,11374,11383,11348,11364
"Sheridan County, Montana",3373,3441,3580,3658,3696
"Silver Bow County, Montana",34239,34388,34493,34512,34680
"Stillwater County, Montana",9111,9162,9195,9310,9290
"Sweet Grass County, Montana",3613,3583,3587,3662,3665
"Teton County, Montana",6078,6084,6072,6075,6064
"Toole County, Montana",5342,5170,5231,5149,5150
"Treasure County, Montana",719,720,730,699,692
"Valley County, Montana",7367,7472,7494,7619,7640
"Wheatland County, Montana",2158,2139,2099,2131,2102
"Wibaux County, Montana",1006,990,1057,1126,1121
"Yellowstone County, Montana",148398,149845,151888,154060,155634
"Adams County, Nebraska",31333,31224,31384,31581,31457
"Antelope County, Nebraska",6658,6622,6520,6456,6398
"Arthur County, Nebraska",464,469,482,451,453
"Banner County, Nebraska",698,741,773,777,764
"Blaine County, Nebraska",472,496,512,481,504
"Boone County, Nebraska",5496,5389,5407,5375,5353
"Box Butte County, Nebraska",11293,11308,11291,11310,11340
"Boyd County, Nebraska",2100,2083,2059,2019,2033
"Brown County, Nebraska",3144,3076,3021,2924,2941
"Buffalo County, Nebraska",46174,46839,47644,48058,48224
"Burt County, Nebraska",6838,6782,6672,6583,6573
"Butler County, Nebraska",8370,8307,8308,8324,8249
"Cass County, Nebraska",25254,25256,25159,25381,25524
"Cedar County, Nebraska",8829,8786,8770,8686,8610
"Chase County, Nebraska",3963,3999,4033,3977,3978
"Cherry County, Nebraska",5715,5749,5738,5779,5762
"Cheyenne County, Nebraska",9961,9968,10062,10079,10148
"Clay County, Nebraska",6542,6476,6407,6383,6315
"Colfax County, Nebraska",10539,10569,10541,10406,10504
"Cuming County, Nebraska",9144,9137,9090,9005,9027
"Custer County, Nebraska",10913,10874,10788,10796,10728
"Dakota County, Nebraska",21029,20851,20837,20944,20850
"Dawes County, Nebraska",9172,9230,9167,9093,9042
"Dawson County, Nebraska",24354,24324,24100,24152,24096
"Deuel County, Nebraska",1937,1970,1973,1934,1940
"Dixon County, Nebraska",5970,6007,5907,5835,5782
"Dodge County, Nebraska",36701,36979,36670,36617,36744
"Douglas County, Nebraska",518594,524611,531309,537529,543244
"Dundy County, Nebraska",2008,1976,1991,1969,1886
"Fillmore County, Nebraska",5889,5852,5748,5685,5661
"Franklin County, Nebraska",3231,3216,3190,3091,3076
"Frontier County, Nebraska",2753,2729,2731,2712,2705
"Furnas County, Nebraska",4954,4937,4903,4856,4888
"Gage County, Nebraska",22286,21946,21735,21816,21663
"Garden County, Nebraska",2078,2044,1962,1904,1911
"Garfield County, Nebraska",2041,1993,1991,2033,2003
"Gosper County, Nebraska",2048,1953,2038,1974,1970
"Grant County, Nebraska",612,630,615,625,619
"Greeley County, Nebraska",2544,2534,2457,2483,2482
"Hall County, Nebraska",58797,59568,60335,60923,61492
"Hamilton County, Nebraska",9127,9079,9025,9122,9135
"Harlan County, Nebraska",3427,3452,3426,3513,3492
"Hayes County, Nebraska",960,983,947,973,933
"Hitchcock County, Nebraska",2893,2871,2883,2873,2901
"Holt County, Nebraska",10451,10460,10409,10438,10403
"Hooker County, Nebraska",734,742,711,732,728
"Howard County, Nebraska",6265,6302,6305,6341,6362
"Jefferson County, Nebraska",7534,7557,7551,7547,7335
"Johnson County, Nebraska",5216,5194,5164,5129,5185
"Kearney County, Nebraska",6497,6573,6534,6553,6644
"Keith County, Nebraska",8359,8219,8210,8121,8121
"Keya Paha County, Nebraska",821,824,799,797,810
"Kimball County, Nebraska",3827,3787,3785,3687,3713
"Knox County, Nebraska",8668,8581,8579,8557,8482
"Lancaster County, Nebraska",286134,289945,293469,297285,301795
"Lincoln County, Nebraska",36267,36069,36029,36092,35815
"Logan County, Nebraska",768,767,771,764,750
"Loup County, Nebraska",626,614,600,581,588
"McPherson County, Nebraska",538,546,505,523,498
"Madison County, Nebraska",34950,35016,35122,35251,35174
"Merrick County, Nebraska",7854,7734,7797,7801,7766
"Morrill County, Nebraska",5040,4930,4875,4882,4862
"Nance County, Nebraska",3729,3732,3703,3600,3570
"Nemaha County, Nebraska",7247,7273,7197,7178,7175
"Nuckolls County, Nebraska",4507,4451,4431,4395,4369
"Otoe County, Nebraska",15758,15772,15704,15717,15797
"Pawnee County, Nebraska",2775,2785,2782,2726,2702
"Perkins County, Nebraska",2987,2956,2947,2910,2891
"Phelps County, Nebraska",9185,9159,9216,9197,9187
"Pierce County, Nebraska",7261,7196,7180,7164,7202
"Platte County, Nebraska",32268,32420,32558,32513,32666
"Polk County, Nebraska",5389,5341,5282,5250,5271
"Red Willow County, Nebraska",11052,11011,11013,11023,10867
"Richardson County, Nebraska",8343,8322,8267,8125,8128
"Rock County, Nebraska",1524,1445,1393,1417,1443
"Saline County, Nebraska",14231,14355,14447,14298,14252
"Sarpy County, Nebraska",159748,162655,165822,169358,172193
"Saunders County, Nebraska",20858,20872,20807,20881,20919
"Scotts Bluff County, Nebraska",37060,36924,36902,36870,36465
"Seward County, Nebraska",16788,16728,16965,17064,17150
"Sheridan County, Nebraska",5457,5389,5355,5252,5259
"Sherman County, Nebraska",3149,3141,3124,3110,3074
"Sioux County, Nebraska",1312,1326,1321,1319,1303
"Stanton County, Nebraska",6128,6181,6093,6084,6069
"Thayer County, Nebraska",5218,5171,5154,5196,5230
"Thomas County, Nebraska",650,689,691,696,687
"Thurston County, Nebraska",6973,6909,6923,6897,6969
"Valley County, Nebraska",4258,4243,4229,4197,4204
"Washington County, Nebraska",20276,20263,20291,20231,20258
"Wayne County, Nebraska",9600,9456,9514,9437,9431
"Webster County, Nebraska",3814,3766,3753,3675,3658
"Wheeler County, Nebraska",821,812,792,758,766
"York County, Nebraska",13645,13744,13815,13863,13917
"Churchill County, Nevada",24798,24587,24317,24045,23989
"Clark County, Nevada",1953263,1967159,1998646,2029316,2069681
"Douglas County, Nevada",47038,47028,46991,47081,47536
"Elko County, Nevada",49074,49505,51078,52531,52766
"Esmeralda County, Nevada",777,750,763,832,822
"Eureka County, Nevada",1995,1984,1996,2071,2018
"Humboldt County, Nevada",16603,16661,17101,17369,17279
"Lander County, Nevada",5789,5848,5929,6074,6009
"Lincoln County, Nevada",5362,5269,5348,5248,5184
"Lyon County, Nevada",52065,51484,51158,51400,51789
"Mineral County, Nevada",4785,4630,4662,4559,4500
"Nye County, Nevada",43864,43322,42923,42298,42282
"Pershing County, Nevada",6742,6640,6765,6862,6698
"Storey County, Nevada",3997,3956,3915,3889,3912
"Washoe County, Nevada",422035,424902,429086,433824,440078
"White Pine County, Nevada",10046,10114,9989,10034,10034
"Carson City, Nevada",55260,54747,54578,54061,54522
"Belknap County, New Hampshire",60109,60253,60394,60201,60305
"Carroll County, New Hampshire",47810,47736,47667,47505,47399
"Cheshire County, New Hampshire",76914,76792,76758,76399,76115
"Coos County, New Hampshire",32957,32460,31977,31962,31653
"Grafton County, New Hampshire",89105,89067,89342,89628,89658
"Hillsborough County, New Hampshire",400982,401716,402600,403398,405184
"Merrimack County, New Hampshire",146411,146681,146987,147150,147171
"Rockingham County, New Hampshire",295306,295999,297841,298745,300621
"Strafford County, New Hampshire",123203,123945,124543,124642,125604
"Sullivan County, New Hampshire",43720,43460,43188,42986,43103
"Atlantic County, New Jersey",274762,274923,275566,276167,275209
"Bergen County, New Jersey",906748,914087,920440,927434,933572
"Burlington County, New Jersey",449174,450531,451207,450141,449722
"Camden County, New Jersey",513630,513261,513104,512125,511038
"Cape May County, New Jersey",97278,96562,96398,95849,95344
"Cumberland County, New Jersey",157200,157607,157794,157153,157389
"Essex County, New Jersey",784608,787232,788425,792091,795723
"Gloucester County, New Jersey",288602,289363,289671,289940,290951
"Hudson County, New Jersey",636294,648197,656879,663906,669115
"Hunterdon County, New Jersey",127343,127253,126593,126473,126067
"Mercer County, New Jersey",368043,367941,369057,371052,371537
"Middlesex County, New Jersey",811272,817400,824447,830815,836297
"Monmouth County, New Jersey",630649,629835,629176,629569,629279
"Morris County, New Jersey",492706,495782,497630,499672,499727
"Ocean County, New Jersey",577651,578990,580709,583412,586301
"Passaic County, New Jersey",502201,503946,505013,506998,508856
"Salem County, New Jersey",65992,66028,65664,65106,64715
"Somerset County, New Jersey",324171,326795,328691,331297,332568
"Sussex County, New Jersey",148770,148034,146985,145740,144909
"Union County, New Jersey",537810,540709,545001,549723,552939
"Warren County, New Jersey",108676,108138,107550,106839,106917
"Bernalillo County, New Mexico",664110,669604,672995,674883,675551
"Catron County, New Mexico",3741,3714,3652,3592,3556
"Chaves County, New Mexico",65779,65726,65828,66041,65878
"Cibola County, New Mexico",27303,27509,27318,27483,27349
"Colfax County, New Mexico",13739,13618,13230,13054,12680
"Curry County, New Mexico",48962,49681,50674,50580,50969
"De Baca County, New Mexico",2016,1967,1935,1891,1825
"Doña Ana County, New Mexico",210237,212890,214208,213697,213676
"Eddy County, New Mexico",53897,54021,54370,55486,56395
"Grant County, New Mexico",29383,29385,29339,29310,29096
"Guadalupe County, New Mexico",4688,4646,4607,4560,4468
"Harding County, New Mexico",688,713,701,688,683
"Hidalgo County, New Mexico",4851,4844,4789,4626,4560
"Lea County, New Mexico",64644,65103,66286,68347,69999
"Lincoln County, New Mexico",20470,20402,20208,20023,19706
"Los Alamos County, New Mexico",18012,18181,18162,17831,17682
"Luna County, New Mexico",25116,25147,25019,24778,24673
"McKinley County, New Mexico",71766,73497,72716,73332,74098
"Mora County, New Mexico",4883,4783,4679,4673,4592
"Otero County, New Mexico",64396,65597,66102,65900,65082
"Quay County, New Mexico",9050,9064,8798,8697,8501
"Rio Arriba County, New Mexico",40318,40333,40260,40088,39777
"Roosevelt County, New Mexico",20011,20459,20336,19983,19536
"Sandoval County, New Mexico",132367,134183,135319,136479,137608
"San Juan County, New Mexico",130155,128035,128367,126448,123785
"San Miguel County, New Mexico",29377,29305,28953,28623,28239
"Santa Fe County, New Mexico",144503,145447,146385,147306,148164
"Sierra County, New Mexico",12039,12040,11893,11571,11325
"Socorro County, New Mexico",17830,17840,17527,17531,17310
"Taos County, New Mexico",32906,32941,32817,33030,33084
"Torrance County, New Mexico",16380,16411,16072,15713,15611
"Union County, New Mexico",4541,4428,4419,4381,4297
"Valencia County, New Mexico",76792,76893,76630,76270,75817
"Albany County, New York",304005,304840,306186,307418,308171
"Allegany County, New York",48986,48862,48289,48060,47736
"Bronx County, New York",1388314,1399815,1414225,1427317,1438159
"Broome County, New York",200428,199335,198670,198203,197349
"Cattaraugus County, New York",80227,79820,79342,78996,78600
"Cayuga County, New York",79826,79803,79617,79335,78823
"Chautauqua County, New York",134839,134316,133458,133115,132053
"Chemung County, New York",88947,88973,89231,88485,87770
"Chenango County, New York",50332,50214,49849,49518,49426
"Clinton County, New York",82066,81849,81826,81773,81632
"Columbia County, New York",63015,62644,62554,62289,62122
"Cortland County, New York",49257,49520,49203,49149,49024
"Delaware County, New York",47856,47625,47166,46885,46581
"Dutchess County, New York",297687,298272,297340,297063,296579
"Erie County, New York",918836,919709,920205,921883,922835
"Essex County, New York",39289,39468,39066,38857,38679
"Franklin County, New York",51582,51547,51813,51335,51262
"Fulton County, New York",55451,55255,55013,54528,54105
"Genesee County, New York",60032,60019,59874,59422,59162
"Greene County, New York",49115,48992,48656,48359,47967
"Hamilton County, New York",4828,4822,4787,4759,4715
"Herkimer County, New York",64442,64639,64572,64246,63744
"Jefferson County, New York",116595,118273,120916,119536,119103
"Kings County, New York",2510073,2544903,2574864,2602373,2621793
"Lewis County, New York",27067,27088,27259,27186,27220
"Livingston County, New York",65261,64896,64862,64731,64586
"Madison County, New York",73400,72946,72420,72521,72369
"Monroe County, New York",744647,747225,748582,750071,749857
"Montgomery County, New York",50288,49965,49891,49830,49779
"Nassau County, New York",1341500,1346857,1350923,1355099,1358627
"New York County, New York",1588494,1610027,1625198,1632005,1636268
"Niagara County, New York",216506,215702,214862,214270,213525
"Oneida County, New York",234859,234207,233981,233801,232871
"Onondaga County, New York",467422,467586,467182,468843,468196
"Ontario County, New York",108233,108762,108824,109351,109707
"Orange County, New York",373402,374228,373936,374926,376099
"Orleans County, New York",42847,42730,42517,42384,41984
"Oswego County, New York",122154,122077,121654,121497,120913
"Otsego County, New York",62225,62015,61880,61644,61128
"Putnam County, New York",99775,99924,99657,99643,99487
"Queens County, New York",2235370,2261430,2280639,2303993,2321580
"Rensselaer County, New York",159346,159654,159572,159653,159774
"Richmond County, New York",469602,471063,470977,472691,473279
"Rockland County, New York",312475,315783,317825,320983,323866
"St. Lawrence County, New York",111821,112370,112466,112019,111400
"Saratoga County, New York",220018,221088,222413,224119,224921
"Schenectady County, New York",154919,154746,155051,155440,155735
"Schoharie County, New York",32666,32638,32048,31849,31566
"Schuyler County, New York",18302,18478,18549,18484,18479
"Seneca County, New York",35247,35377,35381,35273,34884
"Steuben County, New York",98939,99252,99048,98951,98394
"Suffolk County, New York",1494744,1500780,1500422,1502953,1502968
"Sullivan County, New York",77443,77123,76951,76999,75943
"Tioga County, New York",51041,50916,50335,50159,49870
"Tompkins County, New York",101726,102066,103044,104368,104691
"Ulster County, New York",182374,182613,181708,180848,180445
"Warren County, New York",65675,65689,65430,65175,64973
"Washington County, New York",63316,63093,63046,62723,62372
"Wayne County, New York",93734,93255,93009,92388,92051
"Westchester County, New York",950544,957271,961849,969296,972634
"Wyoming County, New York",42097,41909,41762,41441,41188
"Yates County, New York",25360,25401,25265,25169,25208
"Alamance County, North Carolina",151551,152866,153672,154685,155792
"Alexander County, North Carolina",37272,37148,37012,37050,37392
"Alleghany County, North Carolina",11145,11024,10925,10899,10879
"Anson County, North Carolina",26892,26539,26351,26000,25765
"Ashe County, North Carolina",27267,27176,27150,27148,27126
"Avery County, North Carolina",17738,17782,17656,17748,17773
"Beaufort County, North Carolina",47767,47664,47491,47429,47585
"Bertie County, North Carolina",21262,20982,20601,20433,20106
"Bladen County, North Carolina",35179,34997,34906,34838,34657
"Brunswick County, North Carolina",108083,110215,112138,115262,118836
"Buncombe County, North Carolina",238832,241416,244363,247846,250539
"Burke County, North Carolina",90699,90772,90235,89628,89486
"Cabarrus County, North Carolina",178687,181336,184487,187661,192103
"Caldwell County, North Carolina",83002,82297,81946,81969,81484
"Camden County, North Carolina",9997,10060,10054,10193,10331
"Carteret County, North Carolina",66749,67399,67779,68516,68811
"Caswell County, North Carolina",23697,23576,23183,23248,23082
"Catawba County, North Carolina",154332,154175,154518,154726,154534
"Chatham County, North Carolina",63785,65191,65811,66766,68698
"Cherokee County, North Carolina",27426,27136,26972,27106,27141
"Chowan County, North Carolina",14753,14797,14695,14699,14572
"Clay County, North Carolina",10574,10653,10656,10618,10581
"Cleveland County, North Carolina",98039,97614,97515,97077,97076
"Columbus County, North Carolina",57967,57844,57604,57194,56953
"Craven County, North Carolina",103919,104675,105309,104455,104510
"Cumberland County, North Carolina",320254,323865,323099,326466,326328
"Currituck County, North Carolina",23651,23927,24092,24414,24976
"Dare County, North Carolina",33980,34191,34458,34919,35104
"Davidson County, North Carolina",162898,163360,163542,163854,164072
"Davie County, North Carolina",41321,41383,41366,41549,41434
"Duplin County, North Carolina",58710,59425,59667,59593,59882
"Durham County, North Carolina",270798,276299,282308,288243,294460
"Edgecombe County, North Carolina",56609,56087,55714,55554,54933
"Forsyth County, North Carolina",351399,354465,357967,361521,365298
"Franklin County, North Carolina",60821,61090,61571,62275,62860
"Gaston County, North Carolina",206091,206982,208204,209492,211127
"Gates County, North Carolina",12163,12069,11909,11675,11567
"Graham County, North Carolina",8864,8782,8696,8727,8644
"Granville County, North Carolina",57650,57681,57818,58128,58500
"Greene County, North Carolina",21383,21684,21391,21214,21093
"Guilford County, North Carolina",489479,495052,500894,506953,512119
"Halifax County, North Carolina",54515,54240,53923,53365,52970
"Harnett County, North Carolina",115721,119208,122213,125137,126666
"Haywood County, North Carolina",58950,58693,58782,59163,59471
"Henderson County, North Carolina",106909,107504,108115,109531,111149
"Hertford County, North Carolina",24605,24514,24432,24440,24308
"Hoke County, North Carolina",47473,49464,50467,51153,51611
"Hyde County, North Carolina",5809,5832,5738,5730,5676
"Iredell County, North Carolina",159820,161099,162724,164676,166675
"Jackson County, North Carolina",40352,40181,40516,40960,40981
"Johnston County, North Carolina",169617,172783,174893,178000,181423
"Jones County, North Carolina",10080,10268,10276,10220,10076
"Lee County, North Carolina",57896,58557,59368,59997,59662
"Lenoir County, North Carolina",59452,59448,59181,58911,58485
"Lincoln County, North Carolina",78409,78541,78973,79451,79829
"McDowell County, North Carolina",45069,44952,44967,44959,44965
"Macon County, North Carolina",33930,33821,33796,33779,33875
"Madison County, North Carolina",20774,20823,20882,21121,21157
"Martin County, North Carolina",24455,24237,23886,23704,23454
"Mecklenburg County, North Carolina",923413,945257,968779,992514,1012539
"Mitchell County, North Carolina",15532,15371,15367,15318,15311
"Montgomery County, North Carolina",27734,27857,27637,27509,27395
"Moore County, North Carolina",88572,89349,90320,91576,93077
"Nash County, North Carolina",95875,95758,95320,94560,94357
"New Hanover County, North Carolina",203335,205972,209134,213190,216298
"Northampton County, North Carolina",22007,21967,21311,20803,20463
"Onslow County, North Carolina",179563,177895,183888,185669,187589
"Orange County, North Carolina",134051,134813,137728,139365,140420
"Pamlico County, North Carolina",13106,13298,13045,12914,12948
"Pasquotank County, North Carolina",40713,40378,40528,39761,39787
"Pender County, North Carolina",52399,53362,53967,55111,56250
"Perquimans County, North Carolina",13477,13456,13532,13603,13466
"Person County, North Carolina",39429,39525,39179,39248,39132
"Pitt County, North Carolina",168826,170763,172895,174351,175354
"Polk County, North Carolina",20446,20290,20248,20419,20357
"Randolph County, North Carolina",141957,141865,142326,142456,142778
"Richmond County, North Carolina",46624,46621,46381,46224,45733
"Robeson County, North Carolina",134425,135056,135368,134956,134760
"Rockingham County, North Carolina",93604,93160,92646,91905,91696
"Rowan County, North Carolina",138329,138043,137915,138313,138630
"Rutherford County, North Carolina",67781,67403,67243,66879,66600
"Sampson County, North Carolina",63517,63650,63895,64098,64050
"Scotland County, North Carolina",36099,36332,36157,36006,35576
"Stanly County, North Carolina",60562,60480,60493,60630,60600
"Stokes County, North Carolina",47339,47191,46756,46587,46419
"Surry County, North Carolina",73714,73644,73568,73062,72968
"Swain County, North Carolina",13991,13992,14080,14014,14274
"Transylvania County, North Carolina",33073,32819,32854,32925,33045
"Tyrrell County, North Carolina",4409,4333,4131,4105,4115
"Union County, North Carolina",202171,205109,208393,212696,218568
"Vance County, North Carolina",45314,45258,45074,44730,44614
"Wake County, North Carolina",906908,929330,952611,975024,998691
"Warren County, North Carolina",20920,20928,20594,20467,20231
"Washington County, North Carolina",13169,12957,12726,12765,12570
"Watauga County, North Carolina",50993,51583,52064,52317,52560
"Wayne County, North Carolina",122888,124022,124504,124596,124456
"Wilkes County, North Carolina",69223,69181,69210,69012,68838
"Wilson County, North Carolina",81277,81449,81768,81598,81401
"Yadkin County, North Carolina",38394,38252,38056,38009,37792
"Yancey County, North Carolina",17808,17692,17633,17564,17614
"Adams County, North Dakota",2344,2299,2302,2366,2384
"Barnes County, North Dakota",11059,11101,11013,11162,11144
"Benson County, North Dakota",6666,6687,6762,6874,6833
"Billings County, North Dakota",771,836,913,891,901
"Bottineau County, North Dakota",6426,6505,6583,6733,6650
"Bowman County, North Dakota",3140,3140,3220,3212,3247
"Burke County, North Dakota",1965,2056,2170,2291,2245
"Burleigh County, North Dakota",81689,83582,86073,88709,90503
"Cass County, North Dakota",150278,152878,156839,163207,167005
"Cavalier County, North Dakota",3982,3953,3943,3875,3855
"Dickey County, North Dakota",5280,5264,5245,5231,5150
"Divide County, North Dakota",2074,2139,2233,2315,2432
"Dunn County, North Dakota",3541,3751,3974,4162,4399
"Eddy County, North Dakota",2383,2354,2377,2406,2377
"Emmons County, North Dakota",3543,3525,3483,3481,3422
"Foster County, North Dakota",3343,3352,3392,3372,3362
"Golden Valley County, North Dakota",1679,1746,1799,1815,1825
"Grand Forks County, North Dakota",66943,66626,67701,69311,70138
"Grant County, North Dakota",2389,2356,2337,2371,2361
"Griggs County, North Dakota",2407,2369,2351,2292,2319
"Hettinger County, North Dakota",2472,2522,2553,2668,2660
"Kidder County, North Dakota",2439,2446,2434,2429,2424
"LaMoure County, North Dakota",4129,4121,4103,4133,4149
"Logan County, North Dakota",1999,1967,1932,1932,1944
"McHenry County, North Dakota",5395,5483,5784,5904,5988
"McIntosh County, North Dakota",2816,2784,2774,2764,2801
"McKenzie County, North Dakota",6395,7012,7965,9297,10996
"McLean County, North Dakota",8991,9081,9371,9476,9578
"Mercer County, North Dakota",8411,8419,8486,8596,8746
"Morton County, North Dakota",27565,27720,28045,28989,29822
"Mountrail County, North Dakota",7725,8110,8750,9346,9782
"Nelson County, North Dakota",3118,3065,3081,3079,3045
"Oliver County, North Dakota",1833,1845,1832,1869,1850
"Pembina County, North Dakota",7396,7383,7261,7164,7128
"Pierce County, North Dakota",4361,4387,4466,4392,4404
"Ramsey County, North Dakota",11445,11504,11555,11543,11564
"Ransom County, North Dakota",5431,5420,5474,5490,5446
"Renville County, North Dakota",2476,2495,2554,2616,2587
"Richland County, North Dakota",16317,16255,16210,16321,16432
"Rolette County, North Dakota",13993,14138,14350,14607,14616
"Sargent County, North Dakota",3805,3804,3895,3880,3931
"Sheridan County, North Dakota",1311,1310,1270,1313,1326
"Sioux County, North Dakota",4146,4246,4343,4426,4422
"Slope County, North Dakota",727,721,759,761,765
"Stark County, North Dakota",24353,25168,26921,28377,30372
"Steele County, North Dakota",1974,2030,1993,1960,1955
"Stutsman County, North Dakota",21114,20989,20958,21090,21129
"Towner County, North Dakota",2238,2294,2323,2297,2310
"Traill County, North Dakota",8113,8053,8073,8210,8082
"Walsh County, North Dakota",11095,11037,11054,11106,10970
"Ward County, North Dakota",62090,64318,65480,67998,69384
"Wells County, North Dakota",4197,4217,4260,4185,4192
"Williams County, North Dakota",22573,24379,26686,29563,32130
"Adams County, Ohio",28568,28523,28366,28126,28129
"Allen County, Ohio",106364,105907,105283,105214,105040
"Ashland County, Ohio",53329,53288,53240,53117,53035
"Ashtabula County, Ohio",101409,101101,100264,99779,99175
"Athens County, Ohio",65218,65117,64638,64515,64713
"Auglaize County, Ohio",45936,45815,45866,45876,45841
"Belmont County, Ohio",70290,70045,69624,69545,69461
"Brown County, Ohio",44886,44678,44404,44235,44116
"Butler County, Ohio",369056,370210,370833,371511,374158
"Carroll County, Ohio",28804,28871,28560,28271,28187
"Champaign County, Ohio",40074,39878,39586,39475,39128
"Clark County, Ohio",138227,137738,137194,136803,136554
"Clermont County, Ohio",197638,198581,199219,200254,201560
"Clinton County, Ohio",41892,41906,41831,41889,41835
"Columbiana County, Ohio",107843,107260,106438,105885,105686
"Coshocton County, Ohio",36914,36903,36806,36700,36516
"Crawford County, Ohio",43778,43307,42847,42770,42480
"Cuyahoga County, Ohio",1278172,1269839,1265889,1263837,1259828
"Darke County, Ohio",52958,52672,52506,52351,52196
"Defiance County, Ohio",39106,39024,38818,38515,38510
"Delaware County, Ohio",175108,178537,181147,185202,189113
"Erie County, Ohio",77013,76662,76442,76134,75828
"Fairfield County, Ohio",146391,147319,147446,148797,150381
"Fayette County, Ohio",29017,28907,28850,28799,28800
"Franklin County, Ohio",1166107,1179691,1196936,1213834,1231393
"Fulton County, Ohio",42660,42529,42516,42418,42580
"Gallia County, Ohio",31057,30960,30805,30597,30397
"Geauga County, Ohio",93422,93403,93917,94059,94295
"Greene County, Ohio",161614,163522,164145,163465,163820
"Guernsey County, Ohio",40102,39847,39813,39614,39590
"Hamilton County, Ohio",802298,800648,802355,804429,806631
"Hancock County, Ohio",74674,75080,75647,75712,75337
"Hardin County, Ohio",32102,31821,31643,31767,31796
"Harrison County, Ohio",15840,15788,15694,15624,15543
"Henry County, Ohio",28102,28210,28060,28061,27937
"Highland County, Ohio",43598,43428,43024,43233,43045
"Hocking County, Ohio",29466,29466,29291,28608,28725
"Holmes County, Ohio",42467,42777,43105,43635,43898
"Huron County, Ohio",59599,59431,59295,58889,58714
"Jackson County, Ohio",33238,33116,32873,32784,32748
"Jefferson County, Ohio",69613,68889,68347,68007,67694
"Knox County, Ohio",61095,61311,60817,60923,61167
"Lake County, Ohio",229993,229787,229365,229634,229230
"Lawrence County, Ohio",62445,62406,62108,61918,61623
"Licking County, Ohio",166707,167234,167719,168503,169390
"Logan County, Ohio",45774,45621,45454,45466,45507
"Lorain County, Ohio",301478,301932,301695,303006,304216
"Lucas County, Ohio",441599,439771,437376,436803,435286
"Madison County, Ohio",43412,43071,42959,43272,43918
"Mahoning County, Ohio",238406,237314,235787,234336,233204
"Marion County, Ohio",66450,66542,66235,65910,65720
"Medina County, Ohio",172493,173438,173704,174792,176029
"Meigs County, Ohio",23724,23695,23600,23470,23331
"Mercer County, Ohio",40767,40795,40827,40724,40831
"Miami County, Ohio",102456,102833,103118,103416,103900
"Monroe County, Ohio",14583,14722,14579,14601,14465
"Montgomery County, Ohio",536175,534979,534971,534764,533116
"Morgan County, Ohio",15053,15077,14945,14967,14843
"Morrow County, Ohio",34833,34929,35003,35038,35152
"Muskingum County, Ohio",86185,86199,85838,85696,85818
"Noble County, Ohio",14629,14696,14577,14541,14363
"Ottawa County, Ohio",41408,41436,41361,41160,41154
"Paulding County, Ohio",19583,19411,19287,19194,18989
"Perry County, Ohio",36037,36223,35997,35932,35812
"Pickaway County, Ohio",55725,55983,56346,56466,56876
"Pike County, Ohio",28736,28633,28501,28392,28256
"Portage County, Ohio",161355,161770,161336,161423,161882
"Preble County, Ohio",42188,42036,41895,41728,41586
"Putnam County, Ohio",34448,34382,34181,34098,34171
"Richland County, Ohio",124175,123070,122588,122292,121942
"Ross County, Ohio",78126,77627,77485,77364,77159
"Sandusky County, Ohio",60907,60644,60560,60200,60179
"Scioto County, Ohio",79531,79218,78572,78023,77258
"Seneca County, Ohio",56631,56420,56025,55756,55669
"Shelby County, Ohio",49348,49270,49142,49112,48951
"Stark County, Ohio",375398,374248,374844,375222,375736
"Summit County, Ohio",541612,541111,540867,541787,541943
"Trumbull County, Ohio",209897,208991,207439,206480,205175
"Tuscarawas County, Ohio",92546,92492,92488,92767,92788
"Union County, Ohio",52391,53087,52815,53380,53776
"Van Wert County, Ohio",28673,28703,28729,28494,28462
"Vinton County, Ohio",13417,13397,13233,13313,13234
"Warren County, Ohio",213485,215740,217653,219578,221659
"Washington County, Ohio",61691,61559,61508,61393,61213
"Wayne County, Ohio",114501,114718,114990,115144,115537
"Williams County, Ohio",37529,37594,37568,37485,37291
"Wood County, Ohio",125942,127296,128659,129209,129590
"Wyandot County, Ohio",22583,22652,22592,22497,22353
"Adair County, Oklahoma",22720,22513,22248,22235,22186
"Alfalfa County, Oklahoma",5628,5637,5643,5817,5790
"Atoka County, Oklahoma",14151,14100,13960,13785,13796
"Beaver County, Oklahoma",5648,5640,5592,5540,5486
"Beckham County, Oklahoma",22035,22312,23117,23548,23691
"Blaine County, Oklahoma",9903,9702,9819,9819,9917
"Bryan County, Oklahoma",42647,43163,43462,44217,44486
"Caddo County, Oklahoma",29671,29608,29672,29487,29317
"Canadian County, Oklahoma",116348,119487,122605,126136,129582
"Carter County, Oklahoma",47778,48074,48114,48655,48821
"Cherokee County, Oklahoma",47138,47764,48085,47973,48341
"Choctaw County, Oklahoma",15229,15241,15170,15072,15161
"Cimarron County, Oklahoma",2456,2480,2392,2330,2294
