County,2010,2011,2012,2013,2014
"Plumas County, California",19918,19690,19341,18877,18606
"Riverside County, California",2202553,2237696,2268019,2296956,2329271
"Sacramento County, California",1421838,1435601,1448771,1463149,1482026
"San Benito County, California",55532,56174,56871,57594,58267
"San Bernardino County, California",2041689,2064663,2080651,2093306,2112619
"San Diego County, California",3104543,3141768,3183413,3222558,3263431
"San Francisco County, California",805825,816239,829691,841138,852469
"San Joaquin County, California",687513,695479,701635,705027,715597
"San Luis Obispo County, California",269860,271165,274528,276284,279083
"San Mateo County, California",719951,729425,740738,750489,758581
"Santa Barbara County, California",424331,425974,430728,436076,440668
"Santa Clara County, California",1786930,1814105,1841098,1871107,1894605
"Santa Cruz County, California",263213,264923,266632,269444,271804
"Shasta County, California",177286,177950,178421,179137,179804
"Sierra County, California",3221,3104,3076,3040,3003
"Siskiyou County, California",44971,44719,44214,43773,43628
"Solano County, California",414101,416945,420724,425219,431131
"Sonoma County, California",484666,487722,490838,495432,500292
"Stanislaus County, California",515283,518270,522134,526286,531997
"Sutter County, California",94814,94750,94637,95287,95847
"Tehama County, California",63638,63321,63263,63130,63067
"Trinity County, California",13755,13712,13495,13444,13170
"Tulare County, California",443292,447824,451499,454725,458198
"Tuolumne County, California",55168,54724,54100,53911,53831
"Ventura County, California",825353,830973,835476,840972,846178
"Yolo County, California",201167,202303,204265,205485,207590
"Yuba County, California",72390,72600,72977,73361,73966
"Adams County, Colorado",443668,452202,460653,470547,480718
"Alamosa County, Colorado",15901,16107,16113,16256,16177
"Arapahoe County, Colorado",574577,585845,596051,608128,618821
"Archuleta County, Colorado",12065,12022,12129,12202,12244
"Baca County, Colorado",3787,3807,3756,3679,3645
"Bent County, Colorado",6509,6322,5807,5734,5630
"Boulder County, Colorado",295967,300650,305483,310396,313333
"Broomfield County, Colorado",56266,57433,58992,60306,62138
"Chaffee County, Colorado",17803,18001,18103,18335,18363
"Cheyenne County, Colorado",1835,1869,1887,1898,1871
"Clear Creek County, Colorado",9105,9077,9091,9110,9187
"Conejos County, Colorado",8277,8308,8273,8258,8265
"Costilla County, Colorado",3528,3649,3605,3539,3568
"Crowley County, Colorado",5845,5842,5412,5333,5360
"Custer County, Colorado",4276,4224,4240,4271,4361
"Delta County, Colorado",30870,30377,30449,30326,29870
"Denver County, Colorado",603365,619390,633868,648401,663862
"Dolores County, Colorado",2062,2029,1991,2025,1978
"Douglas County, Colorado",286920,292538,298576,306297,314638
"Eagle County, Colorado",52099,51755,51951,52441,52921
"Elbert County, Colorado",23107,23280,23432,23713,24195
"El Paso County, Colorado",626895,636944,645724,655453,663519
"Fremont County, Colorado",46885,47431,47114,46463,46502
"Garfield County, Colorado",56077,56003,56777,57102,57461
"Gilpin County, Colorado",5463,5447,5453,5572,5851
"Grand County, Colorado",14786,14557,14182,14319,14546
"Gunnison County, Colorado",15369,15451,15463,15505,15725
"Hinsdale County, Colorado",847,831,801,812,786
"Huerfano County, Colorado",6673,6519,6588,6507,6462
"Jackson County, Colorado",1383,1381,1347,1364,1396
"Jefferson County, Colorado",535600,539540,545621,551548,558503
"Kiowa County, Colorado",1395,1456,1437,1420,1402
"Kit Carson County, Colorado",8238,8192,8093,8016,8072
"Lake County, Colorado",7263,7373,7274,7290,7357
"La Plata County, Colorado",51338,51770,52305,53334,53989
"Larimer County, Colorado",300484,305241,310835,316494,324122
"Las Animas County, Colorado",15416,15045,14986,14444,14052
"Lincoln County, Colorado",5472,5438,5446,5431,5510
"Logan County, Colorado",22789,22687,22613,22407,22524
"Mesa County, Colorado",146485,147380,147724,147699,148255
"Mineral County, Colorado",703,712,709,723,698
"Moffat County, Colorado",13802,13420,13167,13115,12928
"Montezuma County, Colorado",25537,25444,25424,25667,25772
"Montrose County, Colorado",41177,40910,40722,40744,40873
"Morgan County, Colorado",28141,28498,28355,28389,28328
"Otero County, Colorado",18901,18889,18712,18572,18488
"Ouray County, Colorado",4460,4449,4545,4578,4629
"Park County, Colorado",16264,16091,16043,16128,16345
"Phillips County, Colorado",4460,4371,4376,4355,4363
"Pitkin County, Colorado",17149,17127,17232,17381,17626
"Prowers County, Colorado",12571,12505,12405,12281,12034
"Pueblo County, Colorado",159536,160213,160840,161320,161875
"Rio Blanco County, Colorado",6660,6774,6793,6759,6707
"Rio Grande County, Colorado",12020,11924,11893,11755,11607
"Routt County, Colorado",23426,23182,23207,23458,23865
"Saguache County, Colorado",6131,6185,6319,6226,6196
"San Juan County, Colorado",708,697,695,699,720
"San Miguel County, Colorado",7356,7488,7604,7697,7840
"Sedgwick County, Colorado",2370,2374,2377,2354,2348
"Summit County, Colorado",28063,27960,28228,28755,29404
"Teller County, Colorado",23456,23334,23376,23258,23389
"Washington County, Colorado",4805,4808,4736,4774,4780
"Weld County, Colorado",254173,258737,264189,270560,277670
"Yuma County, Colorado",10016,10156,10117,10163,10202
"Fairfield County, Connecticut",919506,928722,935290,942119,945438
"Hartford County, Connecticut",895197,897142,897698,898848,897985
"Litchfield County, Connecticut",189742,188898,187415,186660,184993
"Middlesex County, Connecticut",165625,166195,165520,165389,164943
"New Haven County, Connecticut",863367,864049,864031,863016,861277
"New London County, Connecticut",274102,274056,274544,273976,273676
"Tolland County, Connecticut",153199,153056,151925,151706,151367
"Windham County, Connecticut",118607,118419,117939,117627,116998
"Kent County, Delaware",162954,165214,167666,169562,171987
"New Castle County, Delaware",538873,542324,546021,549233,552778
"Sussex County, Delaware",197904,200291,203194,206445,210849
"District of Columbia, District of Columbia",605210,620427,635040,649111,658893
"Alachua County, Florida",247680,249712,251713,253309,256380
"Baker County, Florida",27072,27064,27041,27017,27093
"Bay County, Florida",169294,169700,171994,174966,178985
"Bradford County, Florida",28544,28476,27132,26907,26702
"Brevard County, Florida",544029,544431,547669,551440,556885
"Broward County, Florida",1753576,1788367,1819773,1845393,1869235
"Calhoun County, Florida",14635,14763,14709,14647,14532
"Charlotte County, Florida",159927,159613,162792,164948,168474
"Citrus County, Florida",141283,139773,139290,139134,139377
"Clay County, Florida",191423,192291,194294,196535,199798
"Collier County, Florida",322710,327903,332873,340106,348777
"Columbia County, Florida",67606,67340,67943,67563,67857
"DeSoto County, Florida",34916,34636,34745,34616,35012
"Dixie County, Florida",16409,16354,16063,15954,15907
"Duval County, Florida",865842,872294,880595,887322,897698
"Escambia County, Florida",298110,299642,304214,307871,310659
"Flagler County, Florida",96053,97295,98510,99950,102408
"Franklin County, Florida",11538,11518,11671,11639,11815
